Model,Freq,Protocol,forecast,mape,pm,lower,upper,coverage
Naive,W,fixed,[5.01467795 5.01467795 5.01467795 5.01467795 5.01467795 5.01467795],0.17885033203582804,20.709666451682914,,,
Drift,W,fixed,[5.01511866 5.01555938 5.0160001  5.01644082 5.01688153 5.01732225],0.17921797196081893,20.796435733509185,,,
Seasonal Naive,W,fixed,[3.61526286 3.66438015 3.4997038  3.57251774 3.70629582 3.47741331],0.15649962476128984,16.60429572163123,,,
ARIMA,W,fixed,[4.95908711 4.91495628 4.87982299 4.85171457 4.82909096 4.81074982],0.14554022346870465,13.785602838319244,[4.44169971 4.21600097 4.05802916 3.93655346 3.83831241 3.75605547],[5.47647452 5.61391159 5.70161681 5.76687568 5.81986951 5.86544416],0.8333333333333334
ARIMA,W,rolling,[4.95908711 4.39666873 4.24806689 4.39850992 4.38205265 4.26441446],0.05448954228326511,2.96389749931094,[4.44169971 3.87875551 3.73024793 3.88167335 3.8645146  3.74695583],[5.47647452 4.91458195 4.76588584 4.91534649 4.89959069 4.7818731 ],0.8333333333333334
SARIMA,W,fixed,[4.95903254 4.91157419 4.87766999 4.84635569 4.81978608 4.80504963],0.14451191947703548,13.596940579159115,[4.43525195 4.20336482 4.04448915 3.91837343 3.81536821 3.73641907],[5.48281312 5.61978355 5.71085084 5.77433795 5.82420395 5.87368018],0.8333333333333334
SARIMA,W,rolling,[4.95903254 4.39330365 4.22169727 4.37603281 4.35917948 4.24353823],0.05307004342472144,2.8913715516481027,[4.43525195 3.86891031 3.6992708  3.85371074 3.8370353  3.72154159],[5.48281312 4.917697   4.74412375 4.89835488 4.88132365 4.76553487],0.8333333333333334
ARIMAX,W,fixed,[5.03528828 5.02222284 4.96774092 4.98555452 5.03377964 4.93438833],0.17437098367092227,19.58247026749761,[4.47071125 4.26014248 4.07094126 3.97178296 3.915202   3.72001644],[5.59986531 5.7843032  5.86454058 5.99932608 6.15235728 6.14876023],0.6666666666666666
ARIMAX,W,rolling,[5.03528828 4.43745256 4.24056263 4.41525582 4.41882253 4.17111997],0.0573759064287692,3.336666135145654,[4.47071125 3.87154782 3.67481988 3.84974596 3.85364279 3.60616687],[5.59986531 5.00335729 4.80630537 4.98076567 4.98400226 4.73607306],0.8333333333333334
SARIMAX,W,fixed,[4.94482372 4.88481531 4.69951494 4.65935312 4.64270553 4.40770011],0.10518434960941682,7.517686885406647,[4.35488487 4.09557027 3.77564188 3.63178422 3.5321003  3.2290476 ],[5.53476257 5.67406036 5.62338799 5.68692201 5.75331075 5.58635262],1.0
SARIMAX,W,rolling,[4.94482372 4.39192027 4.10820598 4.36741624 4.37351689 4.04932434],0.049393334849083176,2.5960475508824197,[4.35488487 3.80103604 3.51760836 3.77685529 3.78335702 3.45950025],[5.53476257 4.9828045  4.69880361 4.95797718 4.96367675 4.63914842],1.0
